Word,Meaning
Closet,jis me kapde rakhte hai
Masculine,bahot mardana
Astonished,hairan hona
Cozy,comfortable
Gullible,jaldi yaqeen karne wala
Scatterbrain,dhyaan na dene wala
Prestigious,izzat daar
Debugging,galti sudharna
Regulate,control karna
Judgmental,andaza lagana
Imitate,naqal karna
Specified,makhsoos
Deposit,jama karna
Decline,giravat
Overview,saransh
Intimidating,dar paida karne wala
Minimal,kam se kam
Awful,bahot bura
Consultation,mashwara
Phrase,jumla
Suppress,dabana
Quite,completely
Possibly,shayad
Probably,ghaliban
Plethora,bahot zyada
Magnitude,paimana
Cruel,zaalim
Ridicule,mazak udana
Extend,barhana
Drastic,shadeed
Persistence,lagataar koshish
Poverty,ghareebi
Breakthrough,badi kamyabi
Illusion,dhokha
Revenue,aamdani
Freelance,azad kaam karna
Nepotism,rishte daari par tarjeeh
Cheesy,sasta ya over
Bias,janibdaari
Fallback,backup plan
Overhaul,puri tarah badalna
Negotiation,batchit
Stature,qad ya position
Posture,jism ki position
Clear up,saaf karna
Expose,zahir karna
End up,akhir me hona
Succumb,haar maan lena
Integrity,imandari
Lazy,kaam chor
Overconfident,zyaada yaqeen
Facade,jhooti image
Occasionally,kabhi kabhi
Morality,akhlaq
Coherence,mutabiqat
Skinny,patla
Ritual,riwaaj
Twisted,tedha
Creature,makhlooq
Timid,sharmila
Limelight,tawajju
Tamper,cheed chad
Dialect,zubaan ka lehja
Starving,bhookha
Muffled,daba hua
Mesmerize,moheet karna
Emerge,saamne aana
Aesthetics,khoobsurti ka ehsaas
Trespassing,ghair kanooni dakhil
Inherent,fitarati
Ironically,tajub se
Exposure,namaish
Likelihood,imkaan
Legible,padhne layak
Tangible,mehsoos hone wala
Nonetheless,phir bhi
Castle,qila
Modest,sadhaaran
