page,line,front,explanation
1,2,Don’t take my words for it,
1,3,Ever since you joined social media.,
1,4,It creepy,
1,5,to opt out of these features,
1,6,Thank you for enlightening us.,
1,7,Coincidently we bumped into this guy,
1,8,How we are goanna Pull that off,
1,9,Closet,jis me kapde rakhte hai
1,10,Abhi ye bahot(quite) bahot masculine hai,Masculine?
1,11,Astonished,girne wali the
1,12,Within the first glimpse,
1,13,Wasn’t this whole wall supposed to have cork sheet,
1,14,Industrial chic,
1,15,He Choked up while talking,
1,16,Cluttered as well,
1,17,It would more bohemian,
1,18,Bohemian,UNCONVENTIONAL and offbeat or offset
1,19,Its kitschy,
1,20,Thrilled,
1,21,"That strike me, struck me",
1,22,Cozy,
1,23,Vibrant and colorfull,
1,24,Gullible,
1,25,Scatterbrain,
1,26,upholster,
1,27,Drive,
2,1,Prestigious,"reputable, honorable, influential."
2,2,Debugging,"correcting, rectifying"
2,3,Face off,"start game by facing off, aame samne, ladai shuru karna"
2,4,Even though,despite the fact that
2,5,"Even if,",
2,6,"Even so,",
2,7,"Break even,",
2,8,"Not even,",
2,9,"Even more,",
2,10,Even now,abhi bhi
2,11,Even better,aur behter
2,12,Even as,
2,13,Cultivate,develop
2,14,Persecute,
2,15,Intimidating,"fear, discouraging through fear"
2,16,Fling,
2,17,Faint,
2,18,Regulate,durust karna
2,19,Vows,nazar
2,20,Judgmental,andaza
2,21,Tweak,mawafiq
2,22,lifted,uthalia
2,23,Simulated,"copied, resemblance masnaw"
2,24,Imitate,naqal
2,25,Subsequently,baad me
2,26,Specified,makhsoos karda
2,27,Specification,tafseelaat
2,28,into,(main)
2,29,Pitch in,
3,1,Supplement,
3,2,tether,
3,3,tethering,
3,4,procute,
3,5,define,ki wazahat
3,6,bolster,ki hosla afzai
3,7,portfolio,
3,8,woes,pareshanian (do g translation)
3,9,spy,jasoos
3,10,spotten,"farzi , fake"
3,11,comprises,par mushtamil hai
3,12,datasets,aadad wo shumar
3,13,monitoring,nigra
3,14,"however,","synonyms: nevertheless, nonetheless, but, still, yet,"
3,15,"though, although, even so, for all that, despite that, in spite of that,",
3,16,"anyway, anyhow, be that as it may, all the same, having said that,",
3,17,"notwithstanding,",
3,18,still and all,
3,19,withdraw,wapas lena
3,20,deposit,jama karna
3,21,protests,ahtejaj
3,22,takedown,"nikal dena, kharij"
3,23,decline,giravat
3,24,giant,", big, bada"
3,25,overview,
3,26,lewd,"fahesh, crude and offensive in a sexual way"
3,27,fed up,"tan aana,"
3,28,predators,
3,29,overwhelming,had se ziyada
4,1,roll in,
4,2,roll out,
4,3,i got to go,mujhe jaana hai
4,4,so name,
4,5,clan,
4,6,ferocity,
4,7,stance,
4,8,persistent,
4,9,froth,
4,10,foam,
4,11,retreat,
4,12,vigilante,
4,13,tangible proof,thoos saboot
4,14,never mind,koi baat nahi
4,15,strike to tell u about,
4,16,fairy tales,parion ki kahani
4,17,myth,an idea or story many people beleave in that but not true
4,18,myth,or a traditional story
4,19,fairy,pari
4,20,tales,kahani
4,21,archive,"a place where historical material is stored,"
4,22,documentsnewspaper.,
4,23,tic,
4,24,obsolescence,
4,25,trash,
4,26,pull,
4,27,pish,
4,28,pause,
4,29,intimidating,
5,1,sarcastic,
5,2,theritining,darane wali
5,3,midlog,
5,4,greedy,
5,5,glitz,
5,6,immence,
5,7,trip on triped on,
5,8,praponance,
5,9,hipe,
5,10,happy go lucky,
5,11,institution,
5,12,by far,
5,13,so called,
5,14,Paid off,
5,15,Peppi,
5,16,Could understand,
5,17,Came to know,maloom hoa
5,18,Hilight,
5,19,Dicton,
5,20,Equip,
5,21,Wizart,
5,22,Trip,
5,23,Grab,"pakdo, lapakna, pakadna"
5,24,Bias,
5,25,Encapsulate,
5,26,Look after,
5,27,Fallback,
5,28,Fallout,
5,29,Overhaul,
6,1,Overwhelming,
6,2,Minimal,
6,3,Negotiation,
6,4,Sprinkle,
6,5,Muffle,
6,6,Stature,
6,7,Posture,
6,8,Clear up,
6,9,Awful,extremely bad
6,10,Clear up,to go away
6,11,Clear cut,free from doubt
6,12,Expose,show
6,13,Consultation,a meeting in which someone (such as a doctor or
6,14,"lawyer) talks to a person about a problem, question, etc.",
6,15,Ended up,
6,16,Phrase,
6,17,Suppress,
6,18,I looked you up,
6,19,Quite,completely
6,20,Quite a few,
6,21,Are not you,kya tum nahi
6,22,Stop off,rukna hai
6,23,Course identical,
6,24,Enough chatter,
6,25,I don’t suppose that you want to have a drink,
6,26,I suppose main samajhta hooan,
6,27,It just me or is anyone else starving,
6,28,Once in a blue moon,
6,29,Succumb,
7,1,Vetren,
7,2,Blend,
7,3,Tromotize,
7,4,Tacktic,
7,5,Prept out,
7,6,Prept,
7,7,Mojjo or mojo or mojor,
7,8,Nasty,
7,9,Integrity,
7,10,Envey,
7,11,Better have,
7,12,Next to impossible,
7,13,Petrified,
7,14,Fluzies,
7,15,Flosies,
7,16,You just have to,
7,17,Inching,
7,18,Chocked,
7,19,Fall out,
7,20,Issue,
7,21,In case,
7,22,Livelihood,
7,23,That’s how long i have known my ………,
7,24,Don’t pay attention,
7,25,Pay attentation,
7,26,Characteristic,
7,27,Dotch,
7,28,Superstition,
7,29,Stand out,
8,1,I would have,
8,2,Downsized,
8,3,Damp,
8,4,I wonder why,
8,5,Who are you talking to,kisse baat karre
8,6,So are you,tum bhi
8,7,Why do you ask,
8,8,Keep your hands off,
8,9,Do you hear me,
8,10,Possibly,
8,11,Probably,
8,12,Beating around the bush,
8,13,Plethora,
8,14,I go up to talk to him,
8,15,Trip,
8,16,There goes she doesn’t know about..,
8,17,Blanked out,
8,18,"I do, do",
8,19,I am doing tomorrow,
8,20,I have done,
8,21,I have been doing,
8,22,"I did do, i did",
8,23,I was doing,
8,24,I had done,
8,25,I had been doing,
8,26,I will do,
8,27,I will be doing,
8,28,I will have done,
8,29,I will have been doing,
9,1,Peripherals,
9,2,Prominent,
9,3,Savvy,
9,4,We happened like girls,
9,5,Portrayal,
9,6,Exaggerate,
9,7,Reach out,
9,8,What you want out of life,
9,9,What you want out of roadies,
9,10,Your striking me as a conflict person,lagraha hai ho
9,11,Ingrost,
9,12,Slimy,
9,13,Comprehend,
9,14,Lag,
9,15,Lack,
9,16,Magnitude,
9,17,Cruel,
9,18,Gullible,
9,19,Because he got caught,
9,20,Ridicule,
9,21,How ridiculous do you sound right now?,
9,22,Stupid talk that you’re talking about,
9,23,Its highly ridiculous,
9,24,Somebody,
9,25,You know when i would believe that,
9,26,If he had confessed to you on his own,
9,27,Don’t you dare,
9,28,I love to hear you abuse,
9,29,Secrete,
10,1,You have tough competition ahead,
10,2,Watch out for me,
10,3,Adrenal junkie,
10,4,Drastic,"shiddat,"
10,5,Drastically,shadeed
10,6,Persistence,musassil
10,7,Persistency,consistency
10,8,Sterling,"khara, quality"
10,9,Poverty,
10,10,Crap,
10,11,Jump around a lot,
10,12,That doesn’t mean,
10,13,Thrill,
10,14,Right from beginning,
10,15,How can i possibly hit him?,
10,16,Extend,
10,17,Spy man,
10,18,Cum what may,
10,19,Success oriented,
10,20,Never say die,
10,21,Do what it takes,
10,22,I have to win come what may,
10,23,You countrified it,
10,24,He is not worth my even getting up,
10,25,Veteran,
10,26,Breakthrough,
10,27,Bald,
10,28,Demur,
10,29,Stinks,
11,1,Can I deport this,
11,2,That’s actually what you have written,ye likhna chahiye tha
11,3,Mexican stand,
11,4,Going after her,
11,5,He is unbridled,
11,6,Rigged,
11,7,Cut to,
11,8,Illusion,
11,9,Revenue,
11,10,You want to start over,
11,11,Freelance,
11,12,Handcraft,
11,13,Cozy,
11,14,Petrified,
11,15,Parano,
11,16,Floozy,
11,17,Flossy,
11,18,Oppurtunate,
11,19,Pear,
11,20,Burped,
11,21,Nepotism,
11,22,Breezy,
11,23,Cheesy,
11,24,Creeps,
11,25,Concession,
11,26,Inherit,
11,27,Infron terribly,
11,28,Far too much,
11,29,Con solute num,
12,1,Vetren,military
12,2,Blend,
12,3,Traumatize,
12,4,Tacktic,
12,5,Prept out,
12,6,Prept,
12,7,Mojjo or mojo or mojor,
12,8,Nasty,
12,9,Integrity,
12,10,Envey,
12,11,Better have,
12,12,Next to impossible,
12,13,Petrified,
12,14,Fluzies,
12,15,Flosies,
12,16,You just have to,
12,17,Inching,
12,18,Fallout,
12,19,Lay ahead of us,
12,20,Repacurtion,
12,21,Vetren neither do i,
12,22,Blend,
12,23,Tromotize,
12,24,Tacktic,
12,25,Prept,
12,26,Mojjo or mojo or mojor,
12,27,Nasty,
12,28,Integrity,
12,29,Envey,
13,1,Better have,
13,2,Next to impossible,
13,3,Petrified,
13,4,Fluzies,
13,5,Flosies,
13,6,You just have to,
13,7,Inching,
13,8,Live up laya ahead,
13,9,Vetren,
13,10,Blend,
13,11,Tromotize,
13,12,Tacktic,
13,13,Prept out,
13,14,Prept,
13,15,Mojjo or mojo or mojor,
13,16,Nasty,
13,17,Integrity,
13,18,Envey,
13,19,Better have,
13,20,Next to impossible,
13,21,Petrified,
13,22,Fluzies,
13,23,Flosies,
13,24,You just have to,
13,25,Inching,
13,26,Overconfident,
13,27,Lazy less stamina,
13,28,You after a wrong guy,
13,29,Punch your way out of this one,
14,1,Retirement doesn’t suit you,
14,2,First time for every thing,
14,3,Made your look,
14,4,You should not have lied to me,tumhe jhot niahi bolnaa shahiye
14,5,tha mujhe,
14,6,Loon,
14,7,Ruse,
14,8,Where would he go,kahan gaya hoga
14,9,Relying on you,
14,10,It’s just facade,
14,11,Sentiment got the better of you,
14,12,Now and then,
14,13,Junkie,
14,14,Prison,
14,15,Occasionally,
14,16,Grammar has never been base of learning hindi,grammar kabhi
14,17,bhi buniyad nahi thi hindi seekhne ki,
14,18,It has never been,ye kabhi nahi tha
14,19,More or less,
14,20,Had to be,
14,21,Prept out,
14,22,Answer for,zimmadar hona
14,23,Break into,zabar dasti enter karna
14,24,Carryout,"obeyed, do not stop"
14,25,Count in,"include, shamil karna"
14,26,Count out,exclude
14,27,Count on,trust
14,28,Bank,"trust, river corner"
14,29,Lie,"jhoot,"
15,1,Lie,aaram karna
15,2,Bear,"bhalo, sahen karna , bardasht karna."
15,3,Like,"pasand karna ,"
15,4,Like,"kisi ki tarha , you look like my friend"
15,5,Kind,"rahem dil, & different types = kind"
15,6,Kind of,thoda thoda
15,7,Will,marzi & wasiat
15,8,Enamored,
15,9,Acrobatic se sab ko,
15,10,Cor shi ous,
15,11,Never the less,
15,12,What i hav done,
15,13,Replenish,fill or build up
15,14,"Baroness thatcher for example, was repoted to be able to get by on",
15,15,four hours ‘sleep a night when she primof britne minister,
15,16,Bald,
15,17,Transcription,
15,18,Perhaps,
15,19,Integrity,
15,20,Keeping that was never even consideration,
15,21,Morality,
15,22,Coherence,
15,23,Skinny,
15,24,Skim,
15,25,Right away,without delay or hesitation
15,26,Acts like you are,
15,27,I am pretty sure,
15,28,He is over 18,
15,29,I may also have to,
16,1,Ritual,
16,2,Bollects,
16,3,Well then let me say this is the language that i know best,
16,4,Cum hello hi water,
16,5,Swisted,
16,6,Twisted,
16,7,Disputed victory,
16,8,Now would be a good time to,
16,9,The war has just begun,
16,10,That’s one thing that come out of not not winning,
16,11,Insinuation,
16,12,Down right,
16,13,Creature,
16,14,Creature,
16,15,You’re not goanna get anything from spoiling our game,
16,16,Lean,
16,17,Enunciate,
16,18,Timid,
16,19,Support you un conditionally,
16,20,With due diligence,
16,21,Unleash your true personality,unleash = show
16,22,Slouch,
16,23,Limelight,
16,24,Why i hav done i have done,
16,25,Loose or loose,
16,26,Win or win,
16,27,Right here,yahan
16,28,Over time,
16,29,Enlighten,
17,1,Just moved in,
17,2,I will take your word for it,
17,3,Iam not desperate to root around some …,
17,4,Tamper,
17,5,Is he on his way?,
17,6,I may as well,
17,7,You have a look,
17,8,"You have seen reports, i suppose",mai samajhta hoon
17,9,Inhabit,
17,10,Where are we headed,hum kahan pahonche
17,11,Dialect,
17,12,I am sorry to keep you waiting,
17,13,Starving,
17,14,Never the less,
17,15,Off you go then,
17,16,What would he do,kya kia hoga
17,17,There nothing much to know,
17,18,It doesn’t set you apart,
17,19,Right now your far from ready,
17,20,"Has gone out of his wane vane, you don’t know resent",
17,21,Because you didn’t make it,
17,22,You have done yourself a big favor,
17,23,Can we get pass,
17,24,When push comes to stop,
17,25,Might be out of nervousness,
17,26,You would not think learning acting waste of time,
17,27,Tel me or do something which make me feel good about yourself,
17,28,I tried trusting somebody last year fell on my face,
18,1,Do you think we sit around talking to people after we told them,
18,2,go?,
18,3,Do you know how long back did tell you to?,
18,4,Will you please show yourself out?,
18,5,Who do i see in front of me?,
18,6,When he has to have,
18,7,Smothered,"covered, muffled, gala ghot k marna"
18,8,Muffled,covered
18,9,Mesmerize,
18,10,Empathies,
18,11,Emphasize,
18,12,Lambasted,
18,13,Emerge from,
18,14,Legged,
18,15,Fully fledged,
18,16,Appetizers,
18,17,Aesthetics,
18,18,Took off on you,
18,19,Tress passing,
18,20,Inherent,
18,21,Inherently,
18,22,As and when,
18,23,Ironically,
18,24,Illustrious,
18,25,Illustration,
18,26,Exposure,
18,27,Indolence,
18,28,Likelihood,
18,29,Notion,
19,1,Moron,
19,2,Corresponding,alike = same
19,3,Legible,
19,4,Tangible,
19,5,I am very tone about,
19,6,Why the whisper,
19,7,Pamper,
19,8,I am gracious enough to allow varun,
19,9,It was noble,
19,10,Take our word for it,
19,11,Nuts,
19,12,Nonetheless,
19,13,Habited,
19,14,Miscellaneous,
19,15,Long over due,
19,16,Why would I,
19,17,Alongside,bazu
19,18,Possibly,
19,19,Probably,
19,20,Supposedly,
19,21,Perhaps,
19,22,Likely,
19,24,Has not yet been found,
19,25,Castle,"qila, mahel"
19,26,Modest,
19,27,Ortho aid,
19,28,In a nut shell,
21,1,abandon,
21,2,abstract,
21,3,academy,
21,4,acceptable,
21,5,access,
21,6,accessibility,
21,7,acclaimed,
21,8,accommodate,
21,9,accompany,
21,10,accordingly,
21,11,accumulate,
21,12,accurate,
21,13,accustomed,
21,14,achieve,
21,15,acknowledge,
21,16,acquire,
21,17,adapt,
21,18,adapted,
21,19,adequate,
21,20,adjacent,
21,21,adjust,
21,22,administrate,
21,23,admittedly,
21,24,adult,
21,25,advocate,
21,26,affect,
21,27,aggregate,
22,1,aid,
22,2,albeit,
22,3,allocate,
22,4,alter,
22,5,alternative,
22,6,ambiguous,
22,7,amend,
22,8,analogy,
22,9,analyse,
22,10,annual,
22,11,anomalies,
22,12,anticipate,
22,13,apparent,
22,14,appeal,
22,15,append,
22,16,appreciate,
22,17,approach,
22,18,appropriate,
22,19,approximate,
22,20,approximately,
22,21,arbitrary,
22,22,aspect,
22,23,assemble,
22,24,assess,
22,25,assign,
22,26,assist,
22,27,assistance,
22,28,associate,
22,29,assume,
23,1,assure,
23,2,astonishingly,
23,3,attach,
23,4,attain,
23,5,attempt,
23,6,attitude,
23,7,attribute,
23,8,author,
23,9,authority,
23,10,automate,
23,11,available,
23,12,avoidance,
23,13,aware,
23,14,B,
23,15,backbone,
23,16,behalf,
23,17,behavioural,
23,18,beneficial,
23,19,benefit,
23,20,bestow,
23,21,beverages,
23,22,bias,
23,23,biased,
23,24,bond,
23,25,boost,
23,26,breakthrough,
23,27,brief,
23,28,bulk,
23,29,bygone,
24,1,by-product,
24,2,C,
24,3,canvas,
24,4,capable,
24,5,capacity,
24,6,casually,
24,7,category,
24,8,catering,
24,9,cease,
24,10,challenge,
24,11,channel,
24,12,charitable,
24,13,chemical,
24,14,circumstance,
24,15,cite,
24,16,civil,
24,17,clarify,
24,18,clause,
24,19,closely,
24,20,coherent,
24,21,coincide,
24,22,collapse,
24,23,colleague,
24,24,commence,
24,25,comment,
24,26,commission,
24,27,commit,
24,28,commitment,
24,29,commodity,
25,1,communicate,
25,2,community,
25,3,companionship,
25,4,compatible,
25,5,compensate,
25,6,competitive,
25,7,compile,
25,8,complement,
25,9,complex,
25,10,component,
25,11,compound,
25,12,comprehensive,
25,13,comprise,
25,14,compromise,
25,15,compute,
25,16,conceive,
25,17,concentrate,
25,18,concept,
25,19,conclude,
25,20,concrete,
25,21,concurrent,
25,22,conduct,
25,23,confer,
25,24,confine,
25,25,confirm,
25,26,conflict,
25,27,conform,
25,28,consent,
25,29,consequent,
26,1,consequently,
26,2,considerable,
26,3,consist,
26,4,consistency,
26,5,consistently,
26,6,constant,
26,7,constitute,
26,8,constrain,
26,9,constraints,
26,10,construct,
26,11,consult,
26,12,consume,
26,13,consumption,
26,14,contact,
26,15,context,
26,16,contract,
26,17,contradict,
26,18,contrary,
26,19,contrast,
26,20,contribute,
26,21,controversial,
26,22,controversy,
26,23,convene,
26,24,converse,
26,25,convert,
26,26,convey,
26,27,convince,
26,28,cooperate,
26,29,coordinate,
27,1,core,
27,2,corporate,
27,3,correspond,
27,4,counterpart,
27,5,couple,
27,6,coverages,
27,7,create,
27,8,credible,
27,9,credit,
27,10,crisis,
27,11,criteria,
27,12,crucial,
27,13,culture,
27,14,currency,
27,15,cycle,
27,16,D,
27,17,debate,
27,18,decade,
27,19,deceptively,
27,20,decline,
27,21,decrease,
27,22,dedicated,
27,23,deduce,
27,24,deem,
27,25,define,
27,26,definite,
27,27,deforestation,
27,28,demanding,
27,29,demonstrate,
28,1,denote,
28,2,deny,
28,3,depress,
28,4,derive,
28,5,design,
28,6,desirable,
28,7,desperate,
28,8,despite,
28,9,detect,
28,10,detrimental,
